Date,Open,High,Low,Close,Adj Close,Volume
06/01/2017,136,140,136,140,140,200
09/01/2017,140,140,140,140,140,0
10/01/2017,140,140,136,136,136,12200
11/01/2017,136,141,135,135,135,1000
12/01/2017,135,140,135,140,140,1500
13/01/2017,140,141,120,141,141,254700
16/01/2017,141,147,141,142,142,151900
17/01/2017,142,154,141,154,154,86700
18/01/2017,154,155,145,145,145,12500
19/01/2017,146,149,146,149,149,2800
20/01/2017,145,145,145,145,145,1000
23/01/2017,145,146,145,146,146,112000
24/01/2017,145,151,145,147,147,81900
25/01/2017,148,148,148,148,148,10000
26/01/2017,148,148,148,148,148,7500
27/01/2017,148,148,148,148,148,7600
30/01/2017,148,148,147,148,148,16000
31/01/2017,148,148,148,148,148,0
01/02/2017,148,148,148,148,148,5000
02/02/2017,147,147,147,147,147,48700
03/02/2017,147,150,147,150,150,12500
06/02/2017,150,160,150,158,158,94600
07/02/2017,158,187,143,185,185,13517300
08/02/2017,182,204,163,163,163,19080300
09/02/2017,163,169,163,163,163,407400
10/02/2017,163,164,163,164,164,250800
13/02/2017,164,174,163,168,168,228100
14/02/2017,168,171,168,171,171,99900
15/02/2017,171,171,171,171,171,0
16/02/2017,171,172,161,163,163,149900
17/02/2017,163,163,163,163,163,31700
20/02/2017,163,165,163,165,165,76300
21/02/2017,163,163,163,163,163,26200
22/02/2017,163,163,163,163,163,0
23/02/2017,170,170,170,170,170,100
24/02/2017,165,165,165,165,165,25000
27/02/2017,165,165,165,165,165,0
28/02/2017,165,175,165,167,167,900
01/03/2017,167,167,167,167,167,0
02/03/2017,167,167,167,167,167,0
03/03/2017,172,172,168,168,168,500
06/03/2017,168,168,168,168,168,0
07/03/2017,168,168,168,168,168,0
08/03/2017,168,168,153,160,160,78600
09/03/2017,168,168,161,168,168,6900
10/03/2017,160,161,160,161,161,15500
13/03/2017,161,169,161,169,169,2200
14/03/2017,169,169,160,160,160,99100
15/03/2017,161,161,161,161,161,200
16/03/2017,161,161,161,161,161,10000
17/03/2017,161,169,160,160,160,200100
20/03/2017,160,160,160,160,160,10100
21/03/2017,160,160,160,160,160,19900
22/03/2017,160,161,160,161,161,4400
23/03/2017,170,170,162,162,162,10800
24/03/2017,170,181,144,146,146,13006800
27/03/2017,146,151,146,146,146,190900
29/03/2017,140,152,140,146,146,317600
30/03/2017,147,149,140,147,147,20800
31/03/2017,141,147,141,143,143,66600
03/04/2017,143,151,138,150,150,446300
04/04/2017,150,172,150,166,166,623000
05/04/2017,150,172,150,166,166,623000
